Format	Number_of_columns	Schema
bed bed10	10	chr;chrStart;chrEnd;allele1;allele2;gene_id;tss_distance;pval_nominal;slope;slope_se
bed bed12	12	chr;chrStart;chrEnd;name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts
bed bed12-lifted	3+12	chr(hg38);chrStart(hg38);chrEnd(hg38);chr(hg19);chrStart(hg19);chrEnd(hg19);name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts
bed bed13	13	chr;chrStart;chrEnd;allele1;allele2;gene_id;tss_distance;pval_nominal;slope;slope_se;ma_samples;ma_count;maf
bed bed15	15	chr;chrStart;chrEnd;allele1;allele2;gene_id;tss_distance;pval_nominal;slope;slope_se;pval_nominal_threshold;min_pval_nominal;pval_beta;slope_fpkm;slope_fpkm_se
bed bed16	16	chr;chrStart;chrEnd;allele1;allele2;gene_id;tss_distance;pval_nominal;slope;slope_se;pval_nominal_threshold;min_pval_nominal;pval_beta;ma_samples;ma_count;maf
bed bed4	4	chr;chrStart;chrEnd;name
bed bed4-lifted	3+4	chr(hg38);chrStart(hg38);chrEnd(hg38);chr(hg19);chrStart(hg19);chrEnd(hg19);name
bed bed6	6	chr;chrStart;chrEnd;name;score;strand
bed bed6+DASHR	57	chr;chrStart;chrEnd;peakID;peakExpressionValue;strand;peakEntropy5pReadEnd;peakNormalizedEntropy5p;peakMaxEntropy5p;peakEntropy3pReadEnd;peakNormalizedEntropy3p;peakMaxEntropy3p;maxProb5p;maxProb3p;maxPos5p;maxPos3p;beforePeakReadCnt;peakFoldChange;peakRPM;peakExprPercentile;annotChr;annotChrStart;annotChrEnd;rnaID;rnaClass;annotStrand;annotOverlap;peakOverlap;consMean0;consMin;consMax;genomicPartition_mRNA;overlapIds_mRNA;partitionChr_mRNA;partitionStart_mRNA;partitionEnd_mRNA;partitionStrand_mRNA;partitionBpOverlap_mRNA;genomicPartition_lncRNA;overlapIds_lncRNA;partitionChr_lncRNA;partitionStart_lncRNA;partitionEnd_lncRNA;partitionStrand_lncRNA;partitionBpOverlap_lncRNA;numRepeatOverlaps;repeat_family;repeat_id;repeatChr;repeatStart;repeatEnd;repeatStrand;repeatBpOverlap;length;tissue;anchorID;tissueSpecificity;
bed bed6+GTEx	10	chr;chrStart;chrEnd;name;maf;strand;ref;alt;gene;gtex_attributes
bed bed6-lifted	3+6	chr(hg38);chrStart(hg38);chrEnd(hg38);chr(hg19);chrStart(hg19);chrEnd(hg19);name;score;strand
bed bed9	9	chr;chrStart;chrEnd;source;type;strand;score;phase;gft/gff_attributes
bed bed9-lifted	3+9	chr(hg38);chrStart(hg38);chrEnd(hg38);chr(hg19);chrStart(hg19);chrEnd(hg19);source;type;strand;score;phase;gft/gff_attributes
bed bedRnaElements	9	chr;chrStart;chrEnd;name;score;strand;level;signif;score2
bed bedRnaElements-lifted	3+9	chr(hg38);chrStart(hg38);chrEnd(hg38);chr(hg19);chrStart(hg19);chrEnd(hg19);name;score;strand;level;signif;score2
bed broadPeak	9	chr;chrStart;chrEnd;name;score;strand;signalValue;pValue;qValue
bed broadPeak-lifted	3+9	chr(hg38);chrStart(hg38);chrEnd(hg38);chr(hg19);chrStart(hg19);chrEnd(hg19);name;score;strand;signalValue;pValue;qValue
bed gappedPeak	15	chr;chrStart;chrEnd;name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts;signalValue;pValue;qValue
bed gappedPeak-lifted	3+15	chr(hg38);chrStart(hg38);chrEnd(hg38);chr(hg19);chrStart(hg19);chrEnd(hg19);name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts;signalValue;pValue;qValue
bed idr_peak	14	chr;chrStart;chrEnd;name;score;strand;localIDR;globalIDR;rep1_chrStart;rep1_chrEnd;rep1_count;rep2_chrStart;rep2_chrEnd;rep2_count
bed idr_peak-lifted	3+14	chr(hg38);chrStart(hg38);chrEnd(hg38);chr(hg19);chrStart(hg19);chrEnd(hg19);name;score;strand;localIDR;globalIDR;rep1_chrStart;rep1_chrEnd;rep1_count;rep2_chrStart;rep2_chrEnd;rep2_count
bed narrowPeak	10	chr;chrStart;chrEnd;name;score;strand;signalValue;pValue;qValue;peak
bed narrowPeak-lifted	3+10	chr(hg38);chrStart(hg38);chrEnd(hg38);chr(hg19);chrStart(hg19);chrEnd(hg19);name;score;strand;signalValue;pValue;qValue;peak
bed tss_peak	11	chr;chrStart;chrEnd;name;score;strand;count;gene_id;gene_name;tss_id;peak_cov
bed tss_peak-lifted	3+11	chr(hg38);chrStart(hg38);chrEnd(hg38);chr(hg19);chrStart(hg19);chrEnd(hg19);name;score;strand;count;gene_id;gene_name;tss_id;peak_cov
bed bedExonScore	9	chr;chrStart;chrEnd;name;score;strand;signalValue;exonCount;constituitiveExons
bed bedLogR	10	chr;chrStart;chrEnd;name;score;strand;thickStart;thickEnd;reserved;logR
bed bedMethyl	11	chr;chrStart;chrEnd;name;score;strand;thickStart;thickEnd;reserved;readCount;percentMeth
bed bed6+	8	chr;chrStart;chrEnd;name;score;strand;miRNAname;expressionValue
